year,area,chapter,gender,value
2002,22UE,X,M,53
2002,22UE,X,F,67
2002,22UE,XI,M,21
2002,22UE,XI,F,12
2002,22UE,XII,M,1
2002,22UE,XII,F,4
2002,22UE,XIII,M,1
2002,22UE,XIII,F,11
2002,22UE,XIV,M,7
2002,22UE,XIV,F,7
2002,22UE,XV,F,0
2002,22UE,XVI,M,0
2002,22UE,XVI,F,0
2002,22UE,XVII,M,0
2002,22UE,XVII,F,0
2002,22UE,XVIII,M,8
2002,22UE,XVIII,F,11
2002,22UE,XX,M,12
2002,22UE,XX,F,3
2002,22UF,I,M,8
2002,22UF,I,F,5
2002,22UF,II,M,164
2002,22UF,II,F,184
2002,22UF,III,M,1
2002,22UF,III,F,3
2002,22UF,IV,M,8
2002,22UF,IV,F,9
2002,22UF,V,M,6
2002,22UF,V,F,12
2002,22UF,VI,M,22
2002,22UF,VI,F,31
2002,22UF,VII,M,0
2002,22UF,VII,F,0
2002,22UF,VIII,M,0
2002,22UF,VIII,F,0
2002,22UF,IX,M,248
2002,22UF,IX,F,220
2002,22UF,X,M,73
2002,22UF,X,F,79
2002,22UF,XI,M,19
2002,22UF,XI,F,33
2002,22UF,XII,M,1
2002,22UF,XII,F,4
2002,22UF,XIII,M,0
2002,22UF,XIII,F,5
2002,22UF,XIV,M,11
2002,22UF,XIV,F,12
2002,22UF,XV,F,0
2002,22UF,XVI,M,0
2002,22UF,XVI,F,0
2002,22UF,XVII,M,0
2002,22UF,XVII,F,3
2002,22UF,XVIII,M,8
2002,22UF,XVIII,F,23
2002,22UF,XX,M,21
2002,22UF,XX,F,15
2002,22UG,I,M,5
2002,22UG,I,F,5
2002,22UG,II,M,184
2002,22UG,II,F,172
2002,22UG,III,M,1
2002,22UG,III,F,3
2002,22UG,IV,M,10
2002,22UG,IV,F,18
2002,22UG,V,M,28
2002,22UG,V,F,42
2002,22UG,VI,M,27
2002,22UG,VI,F,27
2002,22UG,VII,M,0
2002,22UG,VII,F,0
2002,22UG,VIII,M,0
2002,22UG,VIII,F,0
2002,22UG,IX,M,232
2002,22UG,IX,F,273
2002,22UG,X,M,78
2002,22UG,X,F,92
2002,22UG,XI,M,25
2002,22UG,XI,F,42
2002,22UG,XII,M,3
2002,22UG,XII,F,4
2002,22UG,XIII,M,8
2002,22UG,XIII,F,14
2002,22UG,XIV,M,16
2002,22UG,XIV,F,10
2002,22UG,XV,F,0
2002,22UG,XVI,M,0
2002,22UG,XVI,F,0
2002,22UG,XVII,M,0
2002,22UG,XVII,F,0
2002,22UG,XVIII,M,6
2002,22UG,XVIII,F,28
2002,22UG,XX,M,24
2002,22UG,XX,F,10
2002,22UH,I,M,7
2002,22UH,I,F,6
2002,22UH,II,M,179
2002,22UH,II,F,154
2002,22UH,III,M,0
2002,22UH,III,F,2
2002,22UH,IV,M,7
2002,22UH,IV,F,10
2002,22UH,V,M,14
2002,22UH,V,F,18
2002,22UH,VI,M,16
2002,22UH,VI,F,21
2002,22UH,VII,M,0
2002,22UH,VII,F,0
2002,22UH,VIII,M,0
2002,22UH,VIII,F,0
2002,22UH,IX,M,237
2002,22UH,IX,F,259
2002,22UH,X,M,66
2002,22UH,X,F,77
2002,22UH,XI,M,14
2002,22UH,XI,F,23
2002,22UH,XII,M,1
2002,22UH,XII,F,3
2002,22UH,XIII,M,3
2002,22UH,XIII,F,3
2002,22UH,XIV,M,10
2002,22UH,XIV,F,8
2002,22UH,XV,F,0
2002,22UH,XVI,M,1
2002,22UH,XVI,F,0
2002,22UH,XVII,M,2
2002,22UH,XVII,F,1
2002,22UH,XVIII,M,4
2002,22UH,XVIII,F,43
2002,22UH,XX,M,20
2002,22UH,XX,F,25
2002,22UJ,I,M,3
2002,22UJ,I,F,1
2002,22UJ,II,M,104
2002,22UJ,II,F,81
2002,22UJ,III,M,0
2002,22UJ,III,F,0
2002,22UJ,IV,M,6
2002,22UJ,IV,F,3
2002,22UJ,V,M,2
2002,22UJ,V,F,1
2002,22UJ,VI,M,7
2002,22UJ,VI,F,9
2002,22UJ,VII,M,0
2002,22UJ,VII,F,0
2002,22UJ,VIII,M,0
2002,22UJ,VIII,F,0
2002,22UJ,IX,M,114
2002,22UJ,IX,F,113
2002,22UJ,X,M,49
2002,22UJ,X,F,45
2002,22UJ,XI,M,7
2002,22UJ,XI,F,19
2002,22UJ,XII,M,0
2002,22UJ,XII,F,1
2002,22UJ,XIII,M,1
2002,22UJ,XIII,F,3
2002,22UJ,XIV,M,6
2002,22UJ,XIV,F,3
2002,22UJ,XV,F,1
2002,22UJ,XVI,M,1
2002,22UJ,XVI,F,0
2002,22UJ,XVII,M,1
2002,22UJ,XVII,F,0
2002,22UJ,XVIII,M,4
2002,22UJ,XVIII,F,7
2002,22UJ,XX,M,15
2002,22UJ,XX,F,2
2002,22UK,I,M,1
2002,22UK,I,F,2
2002,22UK,II,M,54
2002,22UK,II,F,71
2002,22UK,III,M,0
2002,22UK,III,F,0
2002,22UK,IV,M,8
2002,22UK,IV,F,6
2002,22UK,V,M,5
2002,22UK,V,F,1
2002,22UK,VI,M,8
2002,22UK,VI,F,8
2002,22UK,VII,M,0
2002,22UK,VII,F,0
2002,22UK,VIII,M,0
2002,22UK,VIII,F,0
2002,22UK,IX,M,119
2002,22UK,IX,F,119
2002,22UK,X,M,29
2002,22UK,X,F,36
2002,22UK,XI,M,8
2002,22UK,XI,F,7
2002,22UK,XII,M,0
2002,22UK,XII,F,2
2002,22UK,XIII,M,1
2002,22UK,XIII,F,4
2002,22UK,XIV,M,4
2002,22UK,XIV,F,4
2002,22UK,XV,F,0
2002,22UK,XVI,M,0
2002,22UK,XVI,F,0
2002,22UK,XVII,M,0
2002,22UK,XVII,F,1
2002,22UK,XVIII,M,3
2002,22UK,XVIII,F,12
2002,22UK,XX,M,11
2002,22UK,XX,F,7
2002,22UL,I,M,1
2002,22UL,I,F,1
2002,22UL,II,M,113
2002,22UL,II,F,121
2002,22UL,III,M,0
2002,22UL,III,F,1
2002,22UL,IV,M,6
2002,22UL,IV,F,4
2002,22UL,V,M,7
2002,22UL,V,F,17
2002,22UL,VI,M,4
2002,22UL,VI,F,17
2002,22UL,VII,M,0
2002,22UL,VII,F,0
2002,22UL,VIII,M,0
2002,22UL,VIII,F,0
2002,22UL,IX,M,121
2002,22UL,IX,F,133
2002,22UL,X,M,62
2002,22UL,X,F,56
2002,22UL,XI,M,24
2002,22UL,XI,F,12
2002,22UL,XII,M,1
2002,22UL,XII,F,1
2002,22UL,XIII,M,2
2002,22UL,XIII,F,9
2002,22UL,XIV,M,4
2002,22UL,XIV,F,6
2002,22UL,XV,F,0
2002,22UL,XVI,M,0
2002,22UL,XVI,F,0
2002,22UL,XVII,M,0
